23,5765
33.9,4044
55.8,4473
65.5,2300
70.6,2465
83.5,2360
85.8,1901
89.3,1710
93.5,1702
99.6,1923
112,1636
125,1377
130,1194
136.4,1096
140.2,1082
145.5,974
150.8,1290
155.7,1193
161.2,1246
164.7,1167
167.7,1105
171.6,1059
175.6,759
183,820
189.6,819
196.5,685
199.6,496
216.5,1004
228,913
237,760
245,591
249.7,406
251,256
260.4,718
270.6,1239
284.4,1294
294.6,1004
299,937
306.5,1011
311.7,1110
318.1,966
326.4,1150
345.3,1613
359.2,1229
374.5,1152
385.3,1277
391.8,1447
397.5,1657
407,1715
411.2,1306
416,1210
418.7,1045
422.9,1443
428.2,1557
443.7,1254
449,1615
458,1978
464,1229
470,1083
485,1072
490,595
493,395
495,398
500,412
504,460
507,440
509,284
513,364
520,826
