551,-3.7,-68.4
551,-6.8,-62.1
551,27.9,-65.4
609,2.3,-67.3
617,-12.2,-68.9
617,23.5,-69.9
658,-0.7,-67.5
671,17,-67.8
693,-10.4,-69.3
705,-2,-68.5
724,12.6,-70.5
757,-0.4,-66.9
774,-12,-66.2
787,3.4,-63.5
787,8.7,-65.7
812,5,-68.1
849,1.9,-59.7
849,5.6,-63.1
862,-2.6,-69.5
866,8.3,-68.7
912,0.3,-57.7
912,2,-61.3
922,9.8,-66.9
974,-1.3,-56.2
974,-0.8,-59.7
1039,-3,-64.1
1039,-8.1,-56.3
1039,-4.2,-54.8
1103,-6.1,-54.1
1103,-6.4,-57.6
1128,-18.7,-59.9
1145,21.3,-66.9
1167,-3.9,-51.8
1167,-6,-56.1
1202,19.1,-66.9
1218,-23.7,-69.3
1230,3.3,-54.8
1230,-6.1,-56.9
1259,12.3,-66.1
1298,-1.6,-52
1298,-4.1,-56
1298,-4.8,-57.6
1311,-16.9,-52.2
1318,4.7,-63.6
1365,-1.1,-51.1
1365,-5.2,-58.6
1376,3.2,-65.7
1401,-14,-63.6
1426,-5.1,-54.8
1426,-4.6,-56.7
1426,-1.4,-55.2
1430,-12.5,-59.7
1485,-3.9,-61.3
1489,-16.8,-56.1
1489,-2.9,-53.7
1489,-1,-53
1489,-1.5,-56.1
1558,-3.2,-60.3
1573,0.6,-53.3
1573,-2.3,-54
1573,1.5,-54.8
1607,-15.3,-59
1632,-8.5,-58.4
1657,0,-53.4
1657,-1.6,-53.3
1657,-2.5,-54.7
1693,-10.3,-54.2
1702,0,-53.1
1707,-15.1,-59.9
1719,-1.5,-55.9
1719,1,-54.3
1746,-0.6,-56
1747,-12.4,-55.9
1780,-1.4,-56.7
1780,0.8,-55.2
1789,0.8,-53
1791,-9.7,-64.4
1799,-8.6,-57.9
1828,-5.5,-55.2
1837,-1,-51.5
1837,2.5,-53.9
1849,-17.8,-56.9
1869,1.7,-53.8
1871,-3.8,-63.2
1894,-4.9,-48
1894,-0.4,-54.8
1899,-17,-57
1950,-20.6,-55.4
1952,-4.8,-61.5
1952,-5.2,-55
1952,-7.6,-58.2
1952,-2.8,-58.4
1984,-5.8,-54.4
2001,-6.9,-56.8
2009,-8.8,-56.5
2009,2.5,-55.1
2016,-5.1,-56.6
2032,7.3,-59.3
2048,-10.3,-54
2050,1.2,-57.4
2066,-0.3,-55.4
2066,6.8,-56.9
2101,1.9,-57.3
2124,-2.1,-56.8
2124,1.7,-60
2154,0.8,-57.1
2157,-5,-63.4
2180,0.9,-59.5
2187,-6.6,-59.3
2187,4.6,-61.9
2200,4.3,-58.3
2210,1.6,-54.8
2215,0.8,-56
2250,4.1,-63
2250,-2.1,-58.4
2250,7,-61.4
2250,0.1,-60.1
2281,-5.9,-62
2302,-4.5,-56.3
2302,3.3,-53.2
2306,-2.7,-57.5
2354,1,-61.3
2354,-3.4,-56.8
2354,24.3,-62.4
2354,-1.1,-57.4
2354,1.2,-58.5
2363,-4.3,-67.4
2404,-15.1,-60.9
2408,3.2,-58.9
2408,1.7,-55.4
2454,5.6,-64.5
2463,-3.6,-58.3
2463,-12.9,-60.5
2463,-2,-57
2469,-14.8,-58.8
2501,1.9,-69.4
2514,-27.1,-64.9
2514,10.8,-58.6
2514,-7.5,-61
2535,5.3,-60.8
2549,3,-81.8
2566,-6.3,-59.9
2566,-0.5,-61
2595,8,-70.6
2614,-7,-51.4
2614,-9.6,-60.3
2614,-4.1,-44.8
2637,9.1,-60.5
2643,12.1,-58.4
2662,51.3,-52.3
2662,-1.1,-71.8
2662,-5.9,-53.6
2717,-11.8,-57
2717,0.1,-63.8
2717,5.5,-61.3
2717,-2.9,-54
2735,0.4,-45.3
2758,-3.2,-51.8
2771,-7.5,-60.2
2771,-7.5,-72.7
2771,-8.4,-60.4
2771,-4.2,-59.1
2783,-10.6,-47.9
2814,-1.4,-56.2
2822,-13.1,-57.5
2822,-25.7,-65.1
2822,-2.8,-59.9
2824,-8.1,-59.8
2868,-5.4,-57.1
2872,-7.4,-55.4
2872,-26.1,-64.2
2872,-11.5,-59.6
2875,1.7,-60.3
2877,-6.3,-63.3
2927,4,-56.4
2927,-15.5,-66.1
2927,4.5,-63.3
2931,-10.9,-51.2
2953,-1.2,-57.2
2982,-3.5,-57.6
2982,-9.4,-54.8
2982,-4.4,-56.8
2982,-22.5,-56.4
2982,-5.1,-58.9
2986,-6.1,-55.4
3026,-10.5,-53.7
3031,0.8,-57.3
3035,1.7,-60.2
3035,-4.4,-54.4
3035,-4,-54.7
3041,-0.6,-56.1
3079,4.3,-57.7
3088,6.2,-60.3
3088,-1.4,-53.4
3088,-14.3,-59.9
3095,-0.9,-56.9
3102,-7.3,-55.7
3134,2.2,-53.3
3146,-2.4,-58.8
3146,-5.5,-56.2
3146,-5.3,-62.1
3156,3.5,-56.7
3189,-2.1,-49.4
3206,14.3,-58.5
3206,-0.5,-55.9
3206,-1.5,-56.6
3206,-10.5,-57.8
3215,2.4,-54.6
3243,-3.4,-53
3263,8.3,-59.9
3263,2.1,-54.7
3263,-7,-53.3
3274,6.1,-56.1
3295,7.4,-48
3320,-4.6,-59.6
3320,8.6,-57
3320,0,-60.2
3320,-5.4,-54.7
3332,-2.2,-58.8
3349,1.9,-54
3381,5,-60.3
3381,0.8,-60.9
3381,-1.3,-55.4
3396,14.1,-65.7
3396,10.3,-57.8
3408,-0.7,-60.7
3442,8.8,-58.3
3442,10.5,-60
3442,3.3,-54.2
3456,11,-63.1
3463,7,-58.7
3499,4,-63.5
3499,5.9,-62
3499,0.7,-55.1
3516,17.7,-64
3516,-7.8,-57.6
3539,-4.6,-44.5
3557,4.3,-61.4
3557,6.6,-61.9
3557,1.2,-55.7
3569,6.7,-62
3574,-0.7,-63.1
3612,13.3,-62.7
3617,15.5,-60.7
3617,2.5,-58.6
3627,7.9,-59.3
3637,10.9,-59.6
3678,3.3,-64.4
3678,4.4,-59
3683,4,-63.1
3686,10.1,-60.1
3699,10,-61.2
3743,9.3,-58
3743,3.9,-62.7
3743,11.6,-62.4
3743,4.2,-61.5
3766,7.8,-64.8
3792,20,-70.6
3798,1.6,-61.3
3808,8.1,-60.3
3808,6.1,-61.1
3808,-2.9,-55.2
3830,2.9,-63.1
3850,7.7,-58.4
3870,11.7,-60.7
3870,6.5,-59.4
3870,2.1,-56.8
3895,13,-59.7
3900,0.5,-57
3933,3,-58.8
3933,-2.1,-58.5
3933,6,-62.2
3948,8.7,-65
3953,3.1,-58.2
3958,9.2,-61.3
3996,0.5,-57.4
3996,-1.5,-59.1
3996,15.3,-63.2
4007,0.3,-58
4024,8.6,-62.7
4024,7.3,-59.7
4059,-10.3,-59.4
4059,-0.3,-57
4059,2.8,-61.5
4059,5.3,-61.1
4087,6.3,-60.5
4102,8.7,-60.8
4122,4.6,-59.6
4122,1,-64.2
4135,29.5,-66
4135,-2.7,-64.1
4152,-8.1,-69.1
4185,0.6,-61.9
4213,-1,-58.4
4218,-3,-59.3
4254,3.5,-64.8
4290,0.7,-50.5
4295,18.4,-64.4
4295,-4.3,-57.6
4323,-3.1,-54.3
4323,4.2,-61.5
4359,0.4,-54.4
4362,9,-54
4379,-3.2,-55.6
4393,0,-51.4
4393,3.2,-61
4433,6.8,-54
4463,8.1,-53.9
4463,-0.5,-51.8
4463,0,-49.3
4463,-0.1,-55
4463,5.7,-62.6
4501,4.1,-53.4
4531,2.8,-54.8
4531,6,-51.8
4531,4.1,-54.7
4531,16.4,-71.1
4542,7.2,-53.5
4572,6.8,-53.9
4600,5.4,-50.6
4600,2.4,-54.6
4600,5,-56.9
4600,9.6,-56.8
4622,6.2,-56.2
4641,5.3,-56.6
4669,8.3,-56.3
4669,4.8,-55.5
4669,-0.8,-58.2
4669,-0.8,-52.4
4702,6.9,-51
4714,5,-54.1
